sigla progetto,nome del' attore,tipo di relazione
Progetto Villa Vedù Casa albergo per dirigenti pensionati (ristrutturazione),Arch. Zita Mosca (fonte Z.M.B.),COP
Ex scuderia di Villa Puricelli Casa di Riposo (ristrutturazione e arredamento),"Opera Diocesana ""Madonna della Fiducia"" - Amministratore Mons. Arnaldo Fraccaroli - Presidente S.E. Cardinale Giacomo Lercaro",COM
Ex scuderia di Villa Puricelli Casa di Riposo (ristrutturazione e arredamento),Arch. Zita Mosca Ing. Alfredo De Bernardi: Direttore Lavori,COL
Progetto Villa Kauffungen,Dott. Eva Kauffungen,COM
Progetto Villa Kauffungen,Arch. Zita Mosca,COP
Padiglione della Stampa e allestimento (demolito negli anni 1945/46),"V Triennale di Milano - Il Presidente Dott. Giulio Barella - Il Direttorio: Dott. Carlo A. Felice, Arch. Gio Ponti, Pittore Mario Sironi",COM
Padiglione della Stampa e allestimento (demolito negli anni 1945/46),Invita il pittore Marcello Nizzoli: sezione grafica; il pittore-scultore Mario Sironi: bassorilievo in cemento colorato; la scultrice Jenny Wiegmann: statua,COL
Padiglione Vesta e allestimento,De Angeli Frua S.A. (Società per l'industria dei Tessuti Stampati),COM
Padiglione Vesta e allestimento,Invita il pittore Enrico Ciuti,COL
Padiglione Ortofrutticolo-Vinicolo  con allestimento e decorazione di alcuni stands - Stand Montecatini (Gran Premio della Giuria Superiore dell'Esposizione),Volpi di Misurata (Commissario Generale per l'Italia),COM
Padiglione Ortofrutticolo-Vinicolo  con allestimento e decorazione di alcuni stands - Stand Montecatini (Gran Premio della Giuria Superiore dell'Esposizione),Invita il pittore Enrico Ciuti Allestimento Stand Montecatini - Invita il pittore Marcello Nizzoli; il pittore-scultore Lucio Fontana: altorilievo in terracotta colorata (fonte Bibliografia),COL
Padiglione D.A.F.,De Angeli Frua S.A. (Società per l'industria dei tessuti stampati),COM
Padiglione D.A.F.,Invita il pittore Enrico Ciuti,COL
Padiglioni Breda  e allestimenti,Finanziaria Ernesto Breda S.p.A. (già Società Italiana Ernesto Breda)  Vice Direttore Ing. Giuseppe Dal Monte,COM
